sales_fact_id,order_id,order_line_number,customer_key,customer_id,product_key,product_id,product_name,category,date_key,order_date,order_timestamp,region_key,region_name,customer_segment,quantity,unit_price,discount_amount,gross_amount,net_amount,payment_method
1,ORD_100001,1,79,CUST_0079,13,PROD_0013,Coffee Makers Pro-Series 1,Home & Kitchen,20260304,2026-03-04,2026-03-04 09:00:00,3,APAC,Premium,2,177.25,53.17,354.5,301.33,PayPal
2,ORD_100002,1,336,CUST_0336,44,PROD_0044,Audiobooks Pro-Series 2,Books & Media,20260527,2026-05-27,2026-05-27 17:00:00,3,APAC,Premium,3,86.85,39.08,260.55,221.47,Debit Card
3,ORD_100003,1,376,CUST_0376,23,PROD_0023,Robotic Vacuums Pro-Series 2,Home & Kitchen,20260417,2026-04-17,2026-04-17 05:00:00,2,EMEA,Standard,2,80.72,24.22,161.44,137.22,PayPal
4,ORD_100004,1,491,CUST_0491,4,PROD_0004,Laptops Pro-Series 1,Consumer Electronics,20260710,2026-07-10,2026-07-10 20:00:00,1,North America,Standard,1,328.32,0.0,328.32,328.32,Credit Card
5,ORD_100005,1,432,CUST_0432,41,PROD_0041,Tech Guides Pro-Series 2,Books & Media,20260227,2026-02-27,2026-02-27 04:00:00,2,EMEA,Standard,1,539.9,27.0,539.9,512.9,Credit Card
6,ORD_100006,1,234,CUST_0234,24,PROD_0024,Robotic Vacuums Pro-Series 3,Home & Kitchen,20250812,2025-08-12,2025-08-12 16:00:00,1,North America,VIP,5,106.82,80.11,534.1,453.99,Debit Card
7,ORD_100007,1,273,CUST_0273,36,PROD_0036,Watches Pro-Series 3,Apparel & Fashion,20250117,2025-01-17,2025-01-17 00:00:00,4,LATAM,Premium,1,387.69,0.0,387.69,387.69,Apple Pay
8,ORD_100008,1,9,CUST_0009,33,PROD_0033,Sportswear Pro-Series 3,Apparel & Fashion,20260703,2026-07-03,2026-07-03 09:00:00,4,LATAM,Premium,2,230.01,0.0,460.02,460.02,Credit Card
9,ORD_100009,1,124,CUST_0124,13,PROD_0013,Coffee Makers Pro-Series 1,Home & Kitchen,20260621,2026-06-21,2026-06-21 04:00:00,3,APAC,VIP,3,177.25,53.18,531.75,478.57,Debit Card
10,ORD_100010,1,492,CUST_0492,26,PROD_0026,Men's Jackets Pro-Series 2,Apparel & Fashion,20250322,2025-03-22,2025-03-22 11:00:00,4,LATAM,Standard,5,387.88,96.97,1939.4,1842.43,PayPal
11,ORD_100011,1,424,CUST_0424,6,PROD_0006,Laptops Pro-Series 3,Consumer Electronics,20251104,2025-11-04,2025-11-04 21:00:00,1,North America,Standard,1,304.52,45.68,304.52,258.84,Debit Card
12,ORD_100012,1,244,CUST_0244,4,PROD_0004,Laptops Pro-Series 1,Consumer Electronics,20260122,2026-01-22,2026-01-22 17:00:00,1,North America,Premium,2,328.32,0.0,656.64,656.64,Debit Card
13,ORD_100013,1,402,CUST_0402,22,PROD_0022,Robotic Vacuums Pro-Series 1,Home & Kitchen,20260321,2026-03-21,2026-03-21 20:00:00,1,North America,Standard,5,573.0,0.0,2865.0,2865.0,PayPal
14,ORD_100014,1,455,CUST_0455,37,PROD_0037,Hardcover Novels Pro-Series 1,Books & Media,20250805,2025-08-05,2025-08-05 22:00:00,4,LATAM,Standard,3,271.24,0.0,813.72,813.72,Credit Card
15,ORD_100015,1,289,CUST_0289,43,PROD_0043,Audiobooks Pro-Series 1,Books & Media,20251015,2025-10-15,2025-10-15 17:00:00,1,North America,Premium,2,262.83,52.57,525.66,473.09,Credit Card
16,ORD_100016,1,74,CUST_0074,26,PROD_0026,Men's Jackets Pro-Series 2,Apparel & Fashion,20250801,2025-08-01,2025-08-01 18:00:00,1,North America,Premium,3,387.88,58.18,1163.64,1105.46,PayPal
17,ORD_100017,1,347,CUST_0347,35,PROD_0035,Watches Pro-Series 2,Apparel & Fashion,20260804,2026-08-04,2026-08-04 12:00:00,3,APAC,Standard,4,495.6,99.12,1982.4,1883.28,Credit Card
18,ORD_100018,1,499,CUST_0499,23,PROD_0023,Robotic Vacuums Pro-Series 2,Home & Kitchen,20260528,2026-05-28,2026-05-28 23:00:00,1,North America,Standard,1,80.72,12.11,80.72,68.61,PayPal
19,ORD_100019,1,310,CUST_0310,40,PROD_0040,Tech Guides Pro-Series 1,Books & Media,20250319,2025-03-19,2025-03-19 10:00:00,4,LATAM,Standard,3,507.6,0.0,1522.8,1522.8,Apple Pay
20,ORD_100020,1,117,CUST_0117,23,PROD_0023,Robotic Vacuums Pro-Series 2,Home & Kitchen,20260407,2026-04-07,2026-04-07 15:00:00,4,LATAM,Standard,4,80.72,16.14,322.88,306.74,Debit Card
21,ORD_100021,1,152,CUST_0152,16,PROD_0016,Air Fryers Pro-Series 1,Home & Kitchen,20250329,2025-03-29,2025-03-29 19:00:00,1,North America,Premium,1,403.75,40.38,403.75,363.37,PayPal
22,ORD_100022,1,402,CUST_0402,41,PROD_0041,Tech Guides Pro-Series 2,Books & Media,20260125,2026-01-25,2026-01-25 22:00:00,2,EMEA,Standard,4,539.9,215.96,2159.6,1943.64,Apple Pay
23,ORD_100023,1,3,CUST_0003,20,PROD_0020,Blenders Pro-Series 2,Home & Kitchen,20250420,2025-04-20,2025-04-20 02:00:00,4,LATAM,Standard,3,80.82,24.25,242.46,218.21,Credit Card
24,ORD_100024,1,96,CUST_0096,28,PROD_0028,Women's Sneakers Pro-Series 1,Apparel & Fashion,20250516,2025-05-16,2025-05-16 02:00:00,4,LATAM,Standard,5,301.74,226.31,1508.7,1282.39,Credit Card
25,ORD_100025,1,182,CUST_0182,36,PROD_0036,Watches Pro-Series 3,Apparel & Fashion,20250127,2025-01-27,2025-01-27 02:00:00,1,North America,Standard,5,387.69,193.85,1938.45,1744.6,Debit Card
26,ORD_100026,1,212,CUST_0212,25,PROD_0025,Men's Jackets Pro-Series 1,Apparel & Fashion,20250113,2025-01-13,2025-01-13 09:00:00,1,North America,Premium,5,381.42,95.36,1907.1,1811.74,PayPal
27,ORD_100027,1,72,CUST_0072,18,PROD_0018,Air Fryers Pro-Series 3,Home & Kitchen,20260125,2026-01-25,2026-01-25 05:00:00,3,APAC,Premium,3,497.95,224.08,1493.85,1269.77,PayPal
28,ORD_100028,1,223,CUST_0223,18,PROD_0018,Air Fryers Pro-Series 3,Home & Kitchen,20250306,2025-03-06,2025-03-06 05:00:00,4,LATAM,Standard,3,497.95,224.08,1493.85,1269.77,Credit Card
29,ORD_100029,1,484,CUST_0484,16,PROD_0016,Air Fryers Pro-Series 1,Home & Kitchen,20260105,2026-01-05,2026-01-05 08:00:00,4,LATAM,Standard,5,403.75,100.94,2018.75,1917.81,Debit Card
30,ORD_100030,1,156,CUST_0156,1,PROD_0001,Smartphones Pro-Series 1,Consumer Electronics,20250420,2025-04-20,2025-04-20 04:00:00,4,LATAM,Standard,3,247.49,111.37,742.47,631.1,Apple Pay
31,ORD_100031,1,221,CUST_0221,42,PROD_0042,Tech Guides Pro-Series 3,Books & Media,20260327,2026-03-27,2026-03-27 10:00:00,2,EMEA,Standard,3,201.79,60.54,605.37,544.83,PayPal
32,ORD_100032,1,91,CUST_0091,26,PROD_0026,Men's Jackets Pro-Series 2,Apparel & Fashion,20260506,2026-05-06,2026-05-06 10:00:00,3,APAC,Standard,3,387.88,174.55,1163.64,989.09,PayPal
33,ORD_100033,1,144,CUST_0144,26,PROD_0026,Men's Jackets Pro-Series 2,Apparel & Fashion,20251130,2025-11-30,2025-11-30 12:00:00,3,APAC,Premium,1,387.88,19.39,387.88,368.49,PayPal
34,ORD_100034,1,488,CUST_0488,30,PROD_0030,Women's Sneakers Pro-Series 3,Apparel & Fashion,20260718,2026-07-18,2026-07-18 00:00:00,2,EMEA,VIP,4,378.05,151.22,1512.2,1360.98,Credit Card
35,ORD_100035,1,256,CUST_0256,9,PROD_0009,Audio Headphones Pro-Series 3,Consumer Electronics,20260223,2026-02-23,2026-02-23 21:00:00,3,APAC,Premium,2,512.06,102.41,1024.12,921.71,PayPal
36,ORD_100036,1,38,CUST_0038,29,PROD_0029,Women's Sneakers Pro-Series 2,Apparel & Fashion,20260310,2026-03-10,2026-03-10 12:00:00,4,LATAM,Standard,5,420.39,315.29,2101.95,1786.66,Debit Card
37,ORD_100037,1,405,CUST_0405,24,PROD_0024,Robotic Vacuums Pro-Series 3,Home & Kitchen,20260711,2026-07-11,2026-07-11 01:00:00,1,North America,Standard,1,106.82,5.34,106.82,101.48,Apple Pay
38,ORD_100038,1,314,CUST_0314,3,PROD_0003,Smartphones Pro-Series 3,Consumer Electronics,20250620,2025-06-20,2025-06-20 20:00:00,4,LATAM,VIP,3,194.64,87.59,583.92,496.33,Credit Card
39,ORD_100039,1,133,CUST_0133,15,PROD_0015,Coffee Makers Pro-Series 3,Home & Kitchen,20250111,2025-01-11,2025-01-11 03:00:00,2,EMEA,VIP,4,397.04,158.82,1588.16,1429.34,Debit Card
40,ORD_100040,1,302,CUST_0302,45,PROD_0045,Audiobooks Pro-Series 3,Books & Media,20260420,2026-04-20,2026-04-20 21:00:00,2,EMEA,Standard,3,512.51,0.0,1537.53,1537.53,Debit Card
41,ORD_100041,1,213,CUST_0213,6,PROD_0006,Laptops Pro-Series 3,Consumer Electronics,20250418,2025-04-18,2025-04-18 09:00:00,1,North America,VIP,2,304.52,60.9,609.04,548.14,Apple Pay
42,ORD_100042,1,402,CUST_0402,14,PROD_0014,Coffee Makers Pro-Series 2,Home & Kitchen,20251218,2025-12-18,2025-12-18 14:00:00,4,LATAM,Standard,3,94.28,42.43,282.84,240.41,Credit Card
43,ORD_100043,1,357,CUST_0357,29,PROD_0029,Women's Sneakers Pro-Series 2,Apparel & Fashion,20260325,2026-03-25,2026-03-25 23:00:00,3,APAC,Premium,1,420.39,42.04,420.39,378.35,Credit Card
44,ORD_100044,1,435,CUST_0435,22,PROD_0022,Robotic Vacuums Pro-Series 1,Home & Kitchen,20250428,2025-04-28,2025-04-28 00:00:00,1,North America,Standard,2,573.0,57.3,1146.0,1088.7,PayPal
45,ORD_100045,1,170,CUST_0170,36,PROD_0036,Watches Pro-Series 3,Apparel & Fashion,20260720,2026-07-20,2026-07-20 05:00:00,4,LATAM,Premium,4,387.69,77.54,1550.76,1473.22,Debit Card
46,ORD_100046,1,328,CUST_0328,43,PROD_0043,Audiobooks Pro-Series 1,Books & Media,20250708,2025-07-08,2025-07-08 05:00:00,4,LATAM,Standard,4,262.83,0.0,1051.32,1051.32,PayPal
47,ORD_100047,1,220,CUST_0220,25,PROD_0025,Men's Jackets Pro-Series 1,Apparel & Fashion,20260406,2026-04-06,2026-04-06 18:00:00,1,North America,Premium,2,381.42,38.14,762.84,724.7,Apple Pay
48,ORD_100048,1,53,CUST_0053,35,PROD_0035,Watches Pro-Series 2,Apparel & Fashion,20250306,2025-03-06,2025-03-06 18:00:00,2,EMEA,Standard,3,495.6,148.68,1486.8,1338.12,PayPal
49,ORD_100049,1,135,CUST_0135,43,PROD_0043,Audiobooks Pro-Series 1,Books & Media,20260414,2026-04-14,2026-04-14 03:00:00,4,LATAM,Standard,5,262.83,131.41,1314.15,1182.74,Debit Card
50,ORD_100050,1,59,CUST_0059,23,PROD_0023,Robotic Vacuums Pro-Series 2,Home & Kitchen,20260206,2026-02-06,2026-02-06 18:00:00,3,APAC,Standard,4,80.72,16.14,322.88,306.74,Apple Pay
51,ORD_100051,1,69,CUST_0069,21,PROD_0021,Blenders Pro-Series 3,Home & Kitchen,20250328,2025-03-28,2025-03-28 21:00:00,1,North America,Standard,2,137.29,27.46,274.58,247.12,Credit Card
